kierunek;wynagrodzenie;uczelnia;rok;forma;poziom;wskaznik;binary;województwo;stopa_bezr;absolwenci;kierunki
 Informatyka ;9213,83; Akademia Finansów i Biznesu Vistula ;2018;Niestacjonarne;II stopnia; 1.49 ;Drugi prog;mazowieckie;4,9;113;Kierunki ścisłe
 Informatyka ;7127,34; Akademia Finansów i Biznesu Vistula ;2018;Niestacjonarne;I stopnia; 1.44 ;Drugi prog;mazowieckie;4,9;113;Kierunki ścisłe
 Ekonomia ;5571; Akademia Finansów i Biznesu Vistula ;2018;Niestacjonarne;I stopnia; 1.21 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ekonomiczne
 Zarządzanie ;4545,59; Akademia Finansów i Biznesu Vistula ;2018;Niestacjonarne;I stopnia; 0.9 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ekonomiczne
Kierunki humanistyczne;4257,17; Akademia Finansów i Biznesu Vistula ;2018;Niestacjonarne;I stopnia; 0.89 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Finanse i rachunkowość ;4673,32; Akademia Finansów i Biznesu Vistula ;2018;Niestacjonarne;II stopnia; 0.87 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ekonomiczne
 Zarządzanie ;4499,83; Akademia Finansów i Biznesu Vistula ;2018;Niestacjonarne;II stopnia; 0.8 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ekonomiczne
 Finanse i rachunkowość ;3779,61; Akademia Finansów i Biznesu Vistula ;2018;Niestacjonarne;I stopnia; 0.73 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ekonomiczne
 Budownictwo ;3000; Akademia Finansów i Biznesu Vistula ;2018;Niestacjonarne;I stopnia; 0.72 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Finanse i rachunkowość ;3928,4; Akademia Finansów i Biznesu Vistula ;2018;Stacjonarne;II stopnia; 0.59 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ekonomiczne
 Informatyka ;3386,55; Akademia Finansów i Biznesu Vistula ;2018;Stacjonarne;I stopnia; 0.58 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Zarządzanie ;3104,7; Akademia Finansów i Biznesu Vistula ;2018;Stacjonarne;II stopnia; 0.48 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ekonomiczne
 Finanse i rachunkowość ;3000; Akademia Finansów i Biznesu Vistula ;2018;Stacjonarne;I stopnia; 0.46 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ekonomiczne
 Ekonomia ;2581,79; Akademia Finansów i Biznesu Vistula ;2018;Stacjonarne;I stopnia; 0.38 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ekonomiczne
 Stosunki międzynarodowe ;1936,59; Akademia Finansów i Biznesu Vistula ;2018;Stacjonarne;I stopnia; 0.3 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ekonomiczne
Kierunki humanistyczne;1937,5; Akademia Finansów i Biznesu Vistula ;2018;Stacjonarne;I stopnia; 0.3 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ścisłe
 Zarządzanie ;1718,57; Akademia Finansów i Biznesu Vistula ;2018;Stacjonarne;I stopnia; 0.29 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki ekonomiczne
 Grafika ;1113,75; Akademia Finansów i Biznesu Vistula ;2018;Stacjonarne;I stopnia; 0.18 ;Pierwszy prog;mazowieckie;4,9;113;Kierunki techniczne
 Informatyka ;8962,36; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 1.85 ;Drugi prog;małopolskie;4,7;128;Kierunki ścisłe
 Teleinformatyka ;8695,74; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 1.84 ;Drugi prog;małopolskie;4,7;128;Kierunki ścisłe
 Górnictwo i geologia ;8600,8; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Niestacjonarne;II stopnia; 1.82 ;Drugi prog;małopolskie;4,7;128;Kierunki techniczne
 Automatyka i robotyka ;7452,57; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 1.73 ;Drugi prog;małopolskie;4,7;128;Kierunki techniczne
 Elektronika i telekomunikacja ;8122,9; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 1.72 ;Drugi prog;małopolskie;4,7;128;Kierunki ścisłe
 Automatyka i robotyka ;7047,29; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Niestacjonarne;II stopnia; 1.72 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Informatyka stosowana ;7706,44; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Niestacjonarne;II stopnia; 1.7 ;Drugi prog;małopolskie;4,7;128;Kierunki ścisłe
 Informatyka ;8100,62; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 1.6 ;Drugi prog;małopolskie;4,7;128;Kierunki ścisłe
 Informatyka stosowana ;7586,36; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 1.58 ;Drugi prog;małopolskie;4,7;128;Kierunki ścisłe
 Informatyka stosowana ;7181,88; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 1.52 ;Drugi prog;małopolskie;4,7;128;Kierunki ścisłe
 Informatyka i ekonometria ;6918,18; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Niestacjonarne;II stopnia; 1.48 ;Pierwszy prog;małopolskie;4,7;128;Kierunki ścisłe
 Elektronika i telekomunikacja ;7775,12; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Niestacjonarne;I stopnia; 1.46 ;Drugi prog;małopolskie;4,7;128;Kierunki ścisłe
 Automatyka i robotyka ;5471,18; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Niestacjonarne;I stopnia; 1.45 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Górnictwo i geologia ;6804,62; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Niestacjonarne;I stopnia; 1.44 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Informatyka stosowana ;6889,56; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Niestacjonarne;I stopnia; 1.43 ;Pierwszy prog;małopolskie;4,7;128;Kierunki ścisłe
 Informatyka ;7698,5; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Niestacjonarne;I stopnia; 1.36 ;Drugi prog;małopolskie;4,7;128;Kierunki ścisłe
 Informatyka stosowana ;5531,07; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;I stopnia; 1.31 ;Pierwszy prog;małopolskie;4,7;128;Kierunki ścisłe
 Elektrotechnika ;5988,38; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Niestacjonarne;II stopnia; 1.3 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Inżynieria mechatroniczna ;6052,47; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 1.25 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Inżynieria naftowa i gazownicza ;5058,07; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Niestacjonarne;II stopnia; 1.22 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Informatyka ;4826,75; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;I stopnia; 1.2 ;Pierwszy prog;małopolskie;4,7;128;Kierunki ścisłe
 Elektrotechnika ;4640,46; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Niestacjonarne;I stopnia; 1.18 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Teleinformatyka ;5332,96; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;I stopnia; 1.17 ;Pierwszy prog;małopolskie;4,7;128;Kierunki ścisłe
 Matematyka ;4790,71; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 1.14 ;Pierwszy prog;małopolskie;4,7;128;Kierunki ścisłe
 Inżynieria materiałowa ;5999,51; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Niestacjonarne;I stopnia; 1.14 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Mechanika i budowa maszyn ;4913,96; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Niestacjonarne;II stopnia; 1.13 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Elektrotechnika ;5062,44; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 1.12 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Informatyka stosowana ;4819,15; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;I stopnia; 1.12 ;Pierwszy prog;małopolskie;4,7;128;Kierunki ścisłe
 Informatyka stosowana ;5601,6; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 1.11 ;Pierwszy prog;małopolskie;4,7;128;Kierunki ścisłe
 Zarządzanie i inżynieria produkcji ;4891,9; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Niestacjonarne;II stopnia; 1.1 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Fizyka techniczna ;5550,46; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 1.09 ;Pierwszy prog;małopolskie;4,7;128;Kierunki ścisłe
 Automatyka i robotyka ;5383,69; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 1.09 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Inżynieria materiałowa ;4300; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Niestacjonarne;II stopnia; 1.09 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Inżynieria biomedyczna ;5186,43; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 1.07 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Automatyka i robotyka ;4891,03; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Niestacjonarne;I stopnia; 1.07 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Elektronika i telekomunikacja ;4552,8; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;I stopnia; 1.04 ;Pierwszy prog;małopolskie;4,7;128;Kierunki ścisłe
 Informatyka stosowana ;4907,68; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;I stopnia; 1.02 ;Pierwszy prog;małopolskie;4,7;128;Kierunki ścisłe
 Inżynieria naftowa i gazownicza ;4683,6; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 0.99 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Informatyka i ekonometria ;4715,89; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 0.99 ;Pierwszy prog;małopolskie;4,7;128;Kierunki ścisłe
 Mechanika i budowa maszyn ;4411,76; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Niestacjonarne;I stopnia; 0.99 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Informatyka ;4703,33; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;I stopnia; 0.97 ;Pierwszy prog;małopolskie;4,7;128;Kierunki ścisłe
 Informatyka i ekonometria ;4545,65; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;I stopnia; 0.96 ;Pierwszy prog;małopolskie;4,7;128;Kierunki ścisłe
 Zarządzanie i inżynieria produkcji ;4656,42; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 0.96 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Technologia chemiczna ;3909,67; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Niestacjonarne;II stopnia; 0.94 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Budownictwo ;4658,3; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Niestacjonarne;I stopnia; 0.94 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Inżynieria naftowa i gazownicza ;4234,02; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Niestacjonarne;I stopnia; 0.93 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Górnictwo i geologia ;4143,03; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Niestacjonarne;I stopnia; 0.9 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Mechanika i budowa maszyn ;4173,56; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 0.9 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Fizyka techniczna ;3725,43; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;I stopnia; 0.9 ;Pierwszy prog;małopolskie;4,7;128;Kierunki ścisłe
 Metalurgia ;3829,73; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 0.89 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Inżynieria środowiska ;3473,27; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Niestacjonarne;II stopnia; 0.89 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Górnictwo i geologia ;3963,12; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 0.87 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Energetyka ;4097,5; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 0.87 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Inżynieria materiałowa ;3916,57; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 0.86 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Metalurgia ;3888,55; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 0.86 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Zarządzanie i inżynieria produkcji ;3773,23; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 0.83 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Geofizyka ;3771,39; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 0.83 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Fizyka medyczna ;3947,42; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 0.83 ;Pierwszy prog;małopolskie;4,7;128;Kierunki ścisłe
 Mikroelektronika w technice i medycynie ;4117,47; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;I stopnia; 0.82 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Automatyka i robotyka ;3632,66; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;I stopnia; 0.8 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Elektronika ;3372,33; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;I stopnia; 0.79 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Górnictwo i geologia ;4065; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 0.79 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Zarządzanie i inżynieria produkcji ;3549,22; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 0.79 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Budownictwo ;3576,75; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 0.79 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Metalurgia ;3188,16; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;I stopnia; 0.78 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Inżynieria materiałowa ;3343,49; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 0.78 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Geodezja i kartografia ;3348,94; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Niestacjonarne;II stopnia; 0.77 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Inżynieria mechatroniczna ;3191,97; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;I stopnia; 0.76 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Zarządzanie ;3352,24; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Niestacjonarne;II stopnia; 0.76 ;Pierwszy prog;małopolskie;4,7;128;Kierunki ekonomiczne
 Inżynieria środowiska ;3804,36; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Niestacjonarne;II stopnia; 0.75 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Automatyka i robotyka ;3661,13; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;I stopnia; 0.75 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Edukacja techniczno-informatyczna ;3354,97; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 0.73 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Inżynieria środowiska ;3565,76; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Niestacjonarne;I stopnia; 0.73 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Komputerowe Wspomaganie Procesów Inżynierskich ;3317,49; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 0.72 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Technologia chemiczna ;2937,03; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Niestacjonarne;I stopnia; 0.71 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Zarządzanie ;3323,76; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 0.71 ;Pierwszy prog;małopolskie;4,7;128;Kierunki ekonomiczne
 Inżynieria Mechaniczna i Materiałowa ;3155,67; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;I stopnia; 0.7 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Inżynieria akustyczna ;3872,31; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 0.7 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Zarządzanie i inżynieria produkcji ;3289,91; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Niestacjonarne;I stopnia; 0.7 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Technologia chemiczna ;3329,72; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 0.69 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Inżynieria akustyczna ;2923,63; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;I stopnia; 0.67 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Technologia chemiczna ;3137,56; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 0.66 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Górnictwo i geologia ;3178,2; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 0.66 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Mechanika i budowa maszyn ;2901,63; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;I stopnia; 0.66 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Socjologia ;3683,98; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 0.65 ;Pierwszy prog;małopolskie;4,7;128;Kierunki społeczne
 Inżynieria Procesów Odlewniczych ;3418,73; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 0.64 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Inżynieria środowiska ;2950,39; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 0.63 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Geodezja i kartografia ;2582; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Niestacjonarne;I stopnia; 0.63 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Edukacja techniczno-informatyczna ;2615,04; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;I stopnia; 0.62 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Inżynieria środowiska ;2693,36; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 0.61 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Inżynieria materiałowa ;3071,35; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 0.61 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Zarządzanie ;2683,13; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Niestacjonarne;I stopnia; 0.6 ;Pierwszy prog;małopolskie;4,7;128;Kierunki ekonomiczne
 Geodezja i kartografia ;2693,07; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 0.6 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Energetyka ;2761,67; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;I stopnia; 0.59 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Kulturoznawstwo ;2934,92; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 0.59 ;Pierwszy prog;małopolskie;4,7;128;Kierunki społeczne
 Zarządzanie i inżynieria produkcji ;2326,22; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;I stopnia; 0.57 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Inżynieria środowiska ;2745,5; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 0.57 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Fizyka medyczna ;2461,61; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;I stopnia; 0.55 ;Pierwszy prog;małopolskie;4,7;128;Kierunki ścisłe
 Matematyka ;2838,91; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;I stopnia; 0.53 ;Pierwszy prog;małopolskie;4,7;128;Kierunki ścisłe
 Geofizyka ;2026,79; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;I stopnia; 0.52 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Elektrotechnika ;2339,4; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;I stopnia; 0.52 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Inżynieria biomedyczna ;2494,53; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;I stopnia; 0.5 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Ochrona środowiska ;2110,35; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 0.5 ;Pierwszy prog;małopolskie;4,7;128;Kierunki przyrodnicze
 Zarządzanie i inżynieria produkcji ;2153,76; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;I stopnia; 0.49 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Zarządzanie ;2079,62; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;I stopnia; 0.49 ;Pierwszy prog;małopolskie;4,7;128;Kierunki ekonomiczne
 Inżynieria Procesów Odlewniczych ;2389,71; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;I stopnia; 0.48 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Turystyka i rekreacja ;2162,61; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;II stopnia; 0.46 ;Pierwszy prog;małopolskie;4,7;128;Kierunki medyczne
 Inżynieria materiałowa ;2062,43; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;I stopnia; 0.45 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Inżynieria naftowa i gazownicza ;1945,27; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;I stopnia; 0.43 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Inżynieria środowiska ;1752,1; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;I stopnia; 0.42 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Inżynieria materiałowa ;2059,11; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;I stopnia; 0.4 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
 Technologia chemiczna ;1477,78; Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie ;2018;Stacjonarne;I stopnia; 0.39 ;Pierwszy prog;małopolskie;4,7;128;Kierunki techniczne
